Date,PM2.5 AQI Value,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019)
02/05/2020,25,Hammond- 167th St,18-089-0036,AQS,111,40,56
02/06/2020,25,MCKINLEY SCHOOL,17-089-0003,AQS,105,31,65.8
02/07/2020,52,Kingery Near Road #1,17-031-0119,AQS,131,40,57.8
02/08/2020,59,Kingery Near Road #1,17-031-0119,AQS,111,25,52.4
02/09/2020,58,East Chicago-Marina,18-089-0034,AQS,116,30,50.6
02/10/2020,57,Kingery Near Road #1,17-031-0119,AQS,126,46,54.8
02/11/2020,59,Kingery Near Road #1,17-031-0119,AQS,87,40,64
02/12/2020,64,Gary- Burr St./ pumping station near truck stop,18-089-0026,AQS,118,32,53.8
02/13/2020,48,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,133,38,53.8
02/14/2020,58,Kingery Near Road #1,17-031-0119,AQS,107,33,54.4
02/15/2020,52,GRAVES ES,17-031-3301,AQS,89,22,58.6
02/16/2020,66,Kingery Near Road #1,17-031-0119,AQS,156,27,55.2
02/17/2020,69,Kingery Near Road #1,17-031-0119,AQS,120,37,58.4
02/18/2020,59,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,147,45,59.4
02/19/2020,38,Kingery Near Road #1,17-031-0119,AQS,124,35,60
02/20/2020,31,SPRINGFIELD PUMP STATION,17-031-0057,AQS,137,33,54
02/21/2020,73,SPRINGFIELD PUMP STATION,17-031-0057,AQS,137,37,57.4
02/22/2020,48,SPRINGFIELD PUMP STATION,17-031-0057,AQS,88,42,63.4
02/23/2020,55,Kingery Near Road #1,17-031-0119,AQS,97,48,62.4
02/24/2020,64,Gary- Madison St./ Gary Water/ IN American Water Co.,18-089-0031,AQS,106,48,56
02/25/2020,46,East Chicago-Marina,18-089-0034,AQS,91,25,32.4
02/26/2020,30,East Chicago-Marina,18-089-0034,AQS,137,34,40.8
02/27/2020,43,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,105,27,54.8
02/28/2020,40,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,156,31,60.4
02/29/2020,28,SPRINGFIELD PUMP STATION,17-031-0057,AQS,70,25,.
03/01/2020,45,PERSHING SCHOOL,17-197-1002,AQS,186,22,51
03/02/2020,51,East Chicago-Marina,18-089-0034,AQS,134,29,58.4
03/03/2020,43,East Chicago-Marina,18-089-0034,AQS,151,35,48
03/04/2020,40,Gary- Burr St./ pumping station near truck stop,18-089-0026,AQS,109,32,61.2
03/05/2020,35,SPRINGFIELD PUMP STATION,17-031-0057,AQS,154,24,47.6
03/06/2020,30,PERSHING SCHOOL,17-197-1002,AQS,132,35,57.6
03/07/2020,40,SPRINGFIELD PUMP STATION,17-031-0057,AQS,123,20,54.2
03/08/2020,38,SPRINGFIELD PUMP STATION,17-031-0057,AQS,134,33,62.8
03/09/2020,53,REGIONAL OFFICE BUILDING,17-031-4007,AirNow,108,30,54.8
03/10/2020,70,MCKINLEY SCHOOL,17-089-0003,AQS,95,32,53.6
03/11/2020,65,Kingery Near Road #1,17-031-0119,AQS,100,32,47
03/12/2020,59,East Chicago-Marina,18-089-0034,AQS,101,34,59.8
03/13/2020,95,Ogden Dunes- Water Treatment Plant,18-127-0024,AQS,105,30,60.6
03/14/2020,34,CITY HALL,17-043-4002,AQS,95,35,55
03/15/2020,32,Kingery Near Road #1,17-031-0119,AQS,104,26,53
03/16/2020,56,KANE COUNTY HEALTH DEPT,17-089-0007,AQS,127,31,42.8
03/17/2020,56,CHIWAUKEE PRAIRIE STATELINE,55-059-0019,AQS,96,23,47.4
03/18/2020,63,Kingery Near Road #1,17-031-0119,AQS,105,29,49
03/19/2020,59,REGIONAL OFFICE BUILDING,17-031-4007,AirNow,101,30,49
03/20/2020,32,Kingery Near Road #1,17-031-0119,AQS,93,27,49.2
03/21/2020,28,SPRINGFIELD PUMP STATION,17-031-0057,AQS,114,33,43
03/22/2020,61,VILLAGE HALL,17-031-1016,AQS,130,26,56
03/23/2020,60,Kingery Near Road #1,17-031-0119,AQS,132,30,52.4
03/24/2020,94,KANE COUNTY HEALTH DEPT,17-089-0007,AQS,90,29,47.8
03/25/2020,66,Kingery Near Road #1,17-031-0119,AQS,110,18,48.2
03/26/2020,65,East Chicago-Marina,18-089-0034,AQS,161,23,67.4
03/27/2020,61,East Chicago-Marina,18-089-0034,AQS,162,22,46.8
03/28/2020,54,COM ED MAINTENANCE BLDG,17-031-0076,AQS,113,31,48
03/29/2020,24,Kingery Near Road #1,17-031-0119,AQS,121,19,53.8
03/30/2020,41,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,144,31,37.4
03/31/2020,45,Hammond- 167th St,18-089-0036,AQS,132,25,38.2
04/01/2020,57,Kingery Near Road #1,17-031-0119,AQS,139,22,52
04/02/2020,53,Kingery Near Road #1,17-031-0119,AQS,113,30,57.2
04/03/2020,61,Kingery Near Road #1,17-031-0119,AQS,134,30,44.2
04/04/2020,33,CITY HALL,17-043-4002,AQS,99,32,40.6
