Date,PM2.5 AQI Value,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019)
11/11/2020,.,,,,94,28,50.2
11/12/2020,.,,,,84,24,46
11/13/2020,.,,,,87,23,46
11/14/2020,.,,,,102,27,45.4
11/15/2020,.,,,,118,20,49
11/16/2020,.,,,,87,28,40
11/17/2020,.,,,,126,21,43.4
11/18/2020,.,,,,112,27,43.8
11/19/2020,.,,,,79,28,48.4
11/20/2020,.,,,,128,18,36.8
11/21/2020,.,,,,127,23,42.2
11/22/2020,.,,,,89,28,41.2
11/23/2020,.,,,,108,21,35.4
11/24/2020,.,,,,80,34,51.8
11/25/2020,.,,,,98,26,68.4
11/26/2020,.,,,,103,31,59
11/27/2020,.,,,,111,19,43.4
11/28/2020,.,,,,136,23,38.6
11/29/2020,.,,,,124,18,35.2
11/30/2020,.,,,,96,28,53.6
12/01/2020,.,,,,77,27,42
12/02/2020,.,,,,107,21,46.4
12/03/2020,.,,,,97,26,46.6
12/04/2020,.,,,,101,29,53.6
12/05/2020,.,,,,105,36,49.2
12/06/2020,.,,,,135,38,54.8
12/07/2020,.,,,,107,34,54.6
12/08/2020,.,,,,96,37,51.6
12/09/2020,.,,,,97,35,56
12/10/2020,.,,,,108,30,57.8
12/11/2020,.,,,,128,33,63
12/12/2020,.,,,,96,23,67.2
12/13/2020,.,,,,95,29,63.4
12/14/2020,.,,,,103,30,52.2
12/15/2020,.,,,,105,27,45.2
12/16/2020,.,,,,80,33,59.2
12/17/2020,.,,,,69,31,49
12/18/2020,.,,,,84,31,48
12/19/2020,.,,,,91,34,52
12/20/2020,.,,,,83,39,57.6
12/21/2020,.,,,,116,31,53.2
12/22/2020,.,,,,126,43,65
12/23/2020,.,,,,85,45,64.8
12/24/2020,.,,,,93,33,53.8
12/25/2020,.,,,,107,31,50.8
12/26/2020,.,,,,79,28,53.8
12/27/2020,.,,,,79,28,51.6
12/28/2020,.,,,,76,35,46
12/29/2020,.,,,,92,34,48.8
12/30/2020,.,,,,105,21,52.2
12/31/2020,.,,,,128,35,44.8
